genero,municipio_de_nacimiento,pais,municipio_direccion,barrio_direccion,estrato,estado_civil,eps,zona,nivel_de_formacion,ocupacion,medio_de_transporte,estado,fecha_de_matricula,jornada,programa,periodo,nivel,edad,periodo_era_mt,anio_periodo,semestre_periodo,estrato_imputado,transporte_imputado,anio_matricula,mes_matricula,desercion
Masculino,Medellín,Colombia,Envigado,Las Flores,3,Soltero(a),,Urbana,Media,Estudiante superior,Transporte público,Inactivo,,,,,,21,0,,,0,0,,,
Masculino,Girardot,Colombia,Envigado,El Salado,1,Soltero(a),Savia Salud,Urbana,Media,Desempleado,A pie,Activo,2021-08-11 10:00:00,NOCHE,17T-TÉCNICO LABORAL EN ENTRENAMIENTO DEPORTIVO,2022-1,SEMESTRE 2,35,0,2022,1,0,0,2021.0,8.0,0.0
Femenino,Sabaneta,Colombia,Envigado,Loma Del Barro,2,Soltero(a),EPS Sura,Urbana,Media,Desempleado,Transporte público,Cancelado,2021-07-31 10:00:00,NOCHE,03T-TÉCNICO LABORAL AUXILIAR EN LOGÍSTICA,2021-2,SEMESTRE 1,22,0,2021,2,0,0,2021.0,7.0,1.0
Masculino,Medellín,Colombia,Envigado,La Paz,3,Unión libre,EPS Sura,Urbana,Pregrado,Empleado,Automóvil,Graduado,2015-02-03 10:00:00,DIURNA,10T-TÉCNICO LABORAL EN AUXILIAR ADMINISTRATIVO CON ÉNFASIS EN SISTEMAS (Solo Estudiantes Antiguos),2015-2,SEMESTRE 2,33,0,2015,2,0,0,2015.0,2.0,0.0
Masculino,Medellín,Colombia,Envigado,Las Flores,3,Soltero(a),Salud Total EPS,Urbana,Media,Estudiante superior,Moto,Inactivo,2017-07-05 10:00:00,DIURNA,26T-TÉCNICO LABORAL EN MECÁNICA DE MOTOS  (Estudiantes Antiguos),2017-2,SEMESTRE 1,26,0,2017,2,0,0,2017.0,7.0,1.0
Masculino,Itagui,Colombia,Envigado,La Mina,2,Soltero(a),,Urbana,Básica secundaria,,Transporte público,Sancionado,2016-01-15 10:00:00,DIURNA,11T-TÉCNICO LABORAL EN AUXILIAR CONTABLE (Solo Estudiantes Antiguos),2016-1,SEMESTRE 1,31,0,2016,1,0,1,2016.0,1.0,1.0
Masculino,Bello,Colombia,Envigado,Loma Del Barro,3,Soltero(a),EPS Sura,Urbana,Básica secundaria,Estudiante superior,A pie,Inactivo,2019-11-21 10:00:00,MEDIA TÉCNICA,PROYECTOS FORMATIVOS MEDIA TECNICA,2018-2,ONCE,21,1,2018,2,0,0,2019.0,11.0,1.0
Femenino,Venezuela,Colombia,Envigado,Las Flores,2,Soltero(a),,Urbana,,Estudiante básica,Transporte público,Inactivo,2021-10-07 10:00:00,MEDIA TÉCNICA,MEDIA TÉCNICA - ORIENTACIÓN VOCACIONAL,2021-2,NOVENO,16,1,2021,2,0,0,2021.0,10.0,0.0
Masculino,Medellín,Colombia,Envigado,Barrio Mesa,3,Soltero(a),,Urbana,Media,Independiente,Bicicleta,Inactivo,2018-11-29 10:00:00,DIURNA,17T-TÉCNICO LABORAL EN ENTRENAMIENTO DEPORTIVO,2019-1,SEMESTRE 1,44,0,2019,1,0,0,2018.0,11.0,1.0
Masculino,Envigado,Colombia,Medellín,El Tesoro,2,,EPS Sura,Rural,,,Transporte público,Inactivo,,,,,,20,0,,,0,0,,,
Masculino,Medellín,Colombia,Envigado,La Sebastiana,2,Soltero(a),EPS Sura,Urbana,Media,Empleado,Transporte público,Graduado,2015-02-03 10:00:00,DIURNA,19T-TÉCNICO LABORAL EN GASTRONOMIA INTERNACIONAL,2015-2,SEMESTRE 2,34,0,2015,2,0,1,2015.0,2.0,0.0
Masculino,Medellín,Colombia,Envigado,Barrio Mesa,3,Soltero(a),EPS Sura,Urbana,Media,Empleado,Transporte público,Inactivo,2015-07-28 10:00:00,DIURNA,17T-TÉCNICO LABORAL EN ENTRENAMIENTO DEPORTIVO,2017-1,SEMESTRE 2,27,0,2017,1,0,1,2015.0,7.0,1.0
Femenino,Maceo,Colombia,Envigado,El Dorado,3,Soltero(a),EPS Sura,Urbana,,,Transporte público,Graduado,2015-02-03 10:00:00,DIURNA,17T-TÉCNICO LABORAL EN ENTRENAMIENTO DEPORTIVO,2018-1,SEMESTRE 2,6,0,2018,1,0,1,2015.0,2.0,0.0
Masculino,Medellín,Colombia,Envigado,Vereda - Las Palmas,2,,,,,,Transporte público,Activo,2020-10-27 10:00:00,DIURNA,EXTENSIÓN MANIPULACIÓN DE ALIMENTOS,2020-2,SEMESTRE 1,35,0,2020,2,1,1,2020.0,10.0,0.0
