genero,edad,programa,jornada,ocupacion,eps,municipio_direccion,riesgo_%,prioridad,perfil
Masculino,21,09T-TÉCNICO LABORAL EN AUXILIAR ADMINISTRATIVO,DIURNA,Desempleado,EPS Sura,Envigado,56.7,Media,Perfil 1
Masculino,22,18T-TÉCNICO LABORAL EN GASTRONOMÍA,DIURNA,Empleado,Sin registro,Envigado,56.7,Media,Perfil 1
Masculino,27,26T-TÉCNICO LABORAL EN MECÁNICA DE MOTOS  (Estudiantes Antiguos),NOCHE,Sin registro,Sin registro,Itagui,56.7,Media,Perfil 2
Masculino,27,36T -  TÉCNICO LABORAL EN AUXILIAR ANÁLISIS Y PROGRAMACIÓN DE SOFTWARE,NOCHE,Empleado,EPS Sura,Envigado,56.6,Media,Perfil 1
Masculino,23,16T-TÉCNICO LABORAL EN ELECTRICISTA,NOCHE,Empleado,EPS Sura,Envigado,56.6,Media,Perfil 3
Masculino,23,16T-TÉCNICO LABORAL EN ELECTRICISTA,NOCHE,Desempleado,Nueva Promotora de Salud - Nueva EPS,Envigado,56.6,Media,Perfil 2
Masculino,26,25T-TÉCNICO LABORAL EN MECANICA DE MOTOCICLETAS,DIURNA,Desempleado,EPS Sura,Envigado,56.5,Media,Perfil 1
Masculino,31,09T-TÉCNICO LABORAL EN AUXILIAR ADMINISTRATIVO,NOCHE,Estudiante básica,SISBEN V3 - Rango de 70% a 79%,Envigado,56.5,Media,Perfil 3
Masculino,20,04-V Técnico Laboral Auxiliar Análisis de Datos E Inteligencia Artificial (50% Modalidad Distancia),DIURNA,Desempleado,Unisalud,Envigado,56.5,Media,Perfil 2
Masculino,20,23T-TÉCNICO LABORAL EN MARKETING Y VENTA DE PRODUCTOS Y SERVICIOS,DIURNA,Desempleado,EPS Sura,Envigado,56.5,Media,Perfil 1
Masculino,24,09T-TÉCNICO LABORAL EN AUXILIAR ADMINISTRATIVO,NOCHE,Independiente,Salud Total EPS,Envigado,56.5,Media,Perfil 1
Masculino,23,22T-TÉCNICO LABORAL EN MARKETING DIGITAL,DIURNA,Independiente,EPS Sura,Sabaneta,56.5,Media,Perfil 2
Masculino,22,23T-TÉCNICO LABORAL EN MARKETING Y VENTA DE PRODUCTOS Y SERVICIOS,NOCHE,Empleado,Salud Total EPS,Envigado,56.4,Media,Perfil 1
Masculino,24,21T-TÉCNICO LABORAL EN MANTENIMIENTO DE COMPUTADORES Y REDES LOCALES DE DATOS,NOCHE,Estudiante superior,EPS Sura,Envigado,56.4,Media,Perfil 3
Masculino,18,25T-TÉCNICO LABORAL EN MECANICA DE MOTOCICLETAS,DIURNA,Empleado,Sin registro,Envigado,56.4,Media,Perfil 1
Masculino,29,09T-TÉCNICO LABORAL EN AUXILIAR ADMINISTRATIVO,NOCHE,Estudiante superior,Coomeva EPS,Envigado,56.4,Media,Perfil 1
